date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2022-05-25,SELL_CE,16154.133928571428,16025.8,70.32,105.48,-603.33,0.348,0.00121,-29.11,25.7,2
2022-05-26,SELL_CE,16270.604285714286,16170.15,47.8,0.05,1145.27,0.332,0.00165,-40.91,26.0,1
2022-05-26,SELL_CE,16270.604285714286,16170.15,47.8,0.05,1145.27,0.332,0.00165,-40.91,26.0,1
2022-05-30,SELL_PE,16457.948571428573,16661.4,99.84,59.04,969.94,-0.319,0.00075,-22.16,27.2,4
2022-06-01,SELL_CE,16643.65,16522.75,76.33,114.49,-652.25,0.361,0.00119,-30.4,25.6,2
2022-06-13,SELL_CE,15974.4,15774.4,98.78,57.24,988.65,0.341,0.00083,-21.2,26.8,4
2022-06-13,SELL_CE,15974.4,15774.4,98.78,57.24,988.65,0.341,0.00083,-21.2,26.8,4
2022-06-16,SELL_PE,15280.6,15360.6,40.56,0.05,964.5,-0.327,0.00192,-34.81,23.4,1
2022-06-16,SELL_CE,15440.6,15360.6,42.75,64.13,-378.84,0.343,0.00196,-35.47,23.4,1
2022-06-16,SELL_CE,15440.6,15360.6,42.75,64.13,-378.84,0.343,0.00196,-35.47,23.4,1
2022-06-21,SELL_PE,15488.295,15638.8,57.83,86.74,-771.69,-0.297,0.00114,-18.42,21.5,3
2022-06-21,SELL_PE,15488.295,15638.8,57.83,86.74,-771.69,-0.297,0.00114,-18.42,21.5,3
2022-06-23,SELL_PE,15469.128571428571,15556.65,35.34,53.01,-318.45,-0.305,0.00195,-32.4,22.1,1
2022-07-05,SELL_PE,15660.795,15810.85,53.08,26.21,623.19,-0.289,0.00118,-17.38,20.3,3
2022-07-07,SELL_PE,16052.355714285713,16132.9,36.78,55.17,-330.17,-0.317,0.002,-32.62,21.1,1
2022-07-07,SELL_PE,16052.355714285713,16132.9,36.78,55.17,-330.17,-0.317,0.002,-32.62,21.1,1
2022-07-13,SELL_CE,16066.65,15966.65,42.65,63.97,-377.96,0.324,0.00177,-19.16,17.2,2
2022-07-14,SELL_CE,16018.65,15938.65,18.9,28.35,-184.59,0.262,0.00272,-20.23,14.4,1
2022-07-18,SELL_PE,16078.5,16278.5,28.96,11.97,376.68,-0.201,0.0011,-9.57,15.0,4
