date,symbol,type,strike,entry,exit,spot_entry,pcr,vwap,gross_pnl,costs,net_pnl,version,tolerance,has_oi,position_scale
2025-12-30,SENSEX,BUY_PE,84700,117.36667889447563,207.55412235974472,84976.47948427672,0.08402203856749312,84976.47948427672,1784.25,55.42,1728.84,V1,,,
2026-01-07,SENSEX,BUY_PE,85000,129.69585433731845,293.94096507933057,85239.04435897435,0.5221238938053098,85239.04435897435,3259.48,56.28,3203.21,V1,,,
2026-01-08,SENSEX,BUY_PE,84200,29.555733372309078,77.8567710593279,85020.08607922122,0.6566371681415929,85020.08607922122,959.58,49.27,910.31,V1,,,
2026-01-13,SENSEX,BUY_PE,83600,54.7684379800794,134.4178307740326,84213.30419631902,0.45893719806763283,84213.30419631902,1581.64,51.03,1530.6,V1,,,
2026-01-14,SENSEX,BUY_PE,83400,68.1631490947093,165.14057068192795,83905.37705497383,0.5377358490566038,83905.37705497383,1925.55,51.97,1873.58,V1,,,
2026-01-16,SENSEX,BUY_PE,83600,206.28938887731783,246.07223189150747,83662.37054412438,0.44150943396226416,83662.37054412438,768.52,61.64,706.87,V1,,,
2026-01-19,SENSEX,BUY_PE,83200,105.87587981451725,239.42800750279466,83557.50648793565,0.4727272727272727,83557.50648793565,2650.32,54.61,2595.71,V1,,,
2026-01-20,SENSEX,BUY_PE,82200,12.604706134921798,34.06136531369054,83377.75496381438,0.45703125,83377.75496381438,426.33,48.08,378.25,V1,,,
2026-01-22,SENSEX,BUY_PE,82300,88.94208350703775,200.4346893755095,82769.19872166481,0.546,82769.19872166481,2212.49,53.43,2159.06,V1,,,
2026-01-23,SENSEX,BUY_PE,81500,40.45307042013701,97.40386486322252,82307.77499230177,0.17254901960784313,82307.77499230177,1130.74,50.03,1080.71,V1,,,
2026-01-27,SENSEX,BUY_PE,81900,224.5672277868871,430.239244143469,82004.95609993293,0.17983651226158037,82004.95609993293,4074.15,62.92,4011.23,V1,,,
2026-01-29,SENSEX,BUY_CE,82600,132.16702759033797,268.3923867069134,82089.17353861945,1.5887445887445888,82089.17353861945,2700.47,56.45,2644.02,V1,,,
2026-01-30,SENSEX,BUY_CE,82300,204.76422473765706,290.5871058654098,82051.4313015061,1.8116883116883118,82051.4313015061,1686.74,61.53,1625.2,V1,,,
2026-02-09,SENSEX,BUY_CE,84100,373.49665186569473,579.3352878915111,83752.93914744935,1.078125,83752.93914744935,4059.6,73.34,3986.26,V1,,,
2026-02-11,SENSEX,BUY_CE,84200,418.27734416955354,641.4565186567547,83962.57896083132,2.058080808080808,83962.57896083132,4400.0,76.48,4323.52,V1,,,
2026-02-12,SENSEX,BUY_PE,83700,357.1106653737188,485.94851758802645,84005.4322181641,0.9700787401574803,84005.4322181641,2526.17,72.2,2453.98,V1,,,
2021-04-12,SENSEX,BUY_PE,47900,55.98,138.96,49225.37,0.185,49225.37,1647.82,51.12,1596.71,V2,0.916,True,1.0
2021-04-15,SENSEX,BUY_PE,48800,381.76,560.57,48921.91,0.398,48921.91,3519.74,73.92,3445.82,V2,0.938,True,1.0
2021-05-07,SENSEX,BUY_CE,49200,286.51,408.05,48902.08,1.132,48902.08,2389.2,67.26,2321.94,V2,0.817,True,1.0
2021-05-17,SENSEX,BUY_CE,49600,148.27,288.92,49089.22,2.169,49089.22,2786.79,57.58,2729.21,V2,0.669,True,1.0
2021-07-12,SENSEX,BUY_PE,52400,67.39,144.56,52605.42,0.788,52605.42,1530.67,51.92,1478.76,V2,0.414,True,1.0
2021-07-19,SENSEX,BUY_PE,52600,93.67,181.43,52792.31,0.801,52792.31,1738.63,53.76,1684.88,V2,0.404,True,1.0
2021-08-13,SENSEX,BUY_CE,55400,51.43,125.55,54741.84,2.153,54741.84,1471.78,50.8,1420.98,V2,0.488,True,1.0
2021-08-18,SENSEX,BUY_CE,55600,141.77,314.88,55409.87,5.569,55409.87,3434.77,57.12,3377.65,V2,0.466,True,1.0
2021-09-17,SENSEX,BUY_CE,59000,138.36,321.62,58829.23,3.22,58829.23,3637.63,56.89,3580.75,V2,0.454,True,1.0
2021-09-28,SENSEX,BUY_CE,59700,227.35,479.66,59628.0,1.49,59628.0,5003.88,63.11,4940.76,V2,0.508,True,1.0
2021-09-29,SENSEX,BUY_PE,59400,103.64,210.23,59714.01,0.777,59714.01,2112.89,54.45,2058.44,V2,0.517,True,1.0
2021-10-11,SENSEX,BUY_CE,60100,216.57,367.61,59928.56,4.9,59928.56,2985.73,62.36,2923.37,V2,0.562,True,1.0
2021-11-17,SENSEX,BUY_PE,60000,176.15,273.6,60299.56,0.735,60299.56,1922.12,59.53,1862.59,V2,0.594,True,1.0
